2020-06-10 15:57:17 status unpacked libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5
2020-06-10 15:57:17 status unpacked libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5
2020-06-10 15:57:17 install libwireshark-data:all <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:17 status half-installed libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:17 status unpacked libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:17 status unpacked libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:17 install libc-ares2:amd64 <none> 1.10.0-3ubuntu0.2
2020-06-10 15:57:17 status half-installed libc-ares2:amd64 1.10.0-3ubuntu0.2
2020-06-10 15:57:17 status unpacked libc-ares2:amd64 1.10.0-3ubuntu0.2
2020-06-10 15:57:17 status unpacked libc-ares2:amd64 1.10.0-3ubuntu0.2
2020-06-10 15:57:18 install libsnappy1v5:amd64 <none> 1.1.3-2
2020-06-10 15:57:18 status half-installed libsnappy1v5:amd64 1.1.3-2
2020-06-10 15:57:18 status unpacked libsnappy1v5:amd64 1.1.3-2
2020-06-10 15:57:18 status unpacked libsnappy1v5:amd64 1.1.3-2
2020-06-10 15:57:18 install libwsutil9:amd64 <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status half-installed libwsutil9:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status unpacked libwsutil9:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status unpacked libwsutil9:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 install libwiretap8:amd64 <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status half-installed libwiretap8:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status unpacked libwiretap8:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status unpacked libwiretap8:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 install libsbc1:amd64 <none> 1.3-1
2020-06-10 15:57:18 status half-installed libsbc1:amd64 1.3-1
2020-06-10 15:57:18 status unpacked libsbc1:amd64 1.3-1
2020-06-10 15:57:18 status unpacked libsbc1:amd64 1.3-1
2020-06-10 15:57:18 install libwscodecs2:amd64 <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status half-installed libwscodecs2:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status unpacked libwscodecs2:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status unpacked libwscodecs2:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 install libwireshark11:amd64 <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:18 status half-installed libwireshark11:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status unpacked libwireshark11:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status unpacked libwireshark11:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 install wireshark-common:amd64 <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status half-installed wireshark-common:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status unpacked wireshark-common:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status unpacked wireshark-common:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 install tshark:amd64 <none> 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status half-installed tshark:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status unpacked tshark:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 status unpacked tshark:amd64 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:21 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2020-06-10 15:57:21 status half-configured libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:57:21 status installed libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:57:21 trigproc man-db:amd64 2.7.5-1 <none>
2020-06-10 15:57:21 status half-configured man-db:amd64 2.7.5-1
2020-06-10 15:57:22 status installed man-db:amd64 2.7.5-1
2020-06-10 15:57:22 startup packages configure
2020-06-10 15:57:22 configure libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4 <none>
2020-06-10 15:57:22 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:57:22 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4
2020-06-10 15:57:22 status half-configured libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4
2020-06-10 15:57:22 status installed libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4
2020-06-10 15:57:22 configure libjbig0:amd64 2.1-3.1 <none>
2020-06-10 15:57:22 status unpacked libjbig0:amd64 2.1-3.1
2020-06-10 15:57:22 status half-configured libjbig0:amd64 2.1-3.1
2020-06-10 15:57:22 status installed libjbig0:amd64 2.1-3.1
2020-06-10 15:57:22 configure libjpeg8:amd64 8c-2ubuntu8 <none>
2020-06-10 15:57:22 status unpacked libjpeg8:amd64 8c-2ubuntu8
2020-06-10 15:57:22 status half-configured libjpeg8:amd64 8c-2ubuntu8
2020-06-10 15:57:22 status installed libjpeg8:amd64 8c-2ubuntu8
2020-06-10 15:57:22 configure liblua5.2-0:amd64 5.2.4-1ubuntu1 <none>
2020-06-10 15:57:22 status unpacked liblua5.2-0:amd64 5.2.4-1ubuntu1
2020-06-10 15:57:22 status half-configured liblua5.2-0:amd64 5.2.4-1ubuntu1
2020-06-10 15:57:22 status installed liblua5.2-0:amd64 5.2.4-1ubuntu1
2020-06-10 15:57:22 configure libmaxminddb0:amd64 1.0.4-2.1 <none>
2020-06-10 15:57:22 status unpacked libmaxminddb0:amd64 1.0.4-2.1
2020-06-10 15:57:22 status half-configured libmaxminddb0:amd64 1.0.4-2.1
2020-06-10 15:57:22 status installed libmaxminddb0:amd64 1.0.4-2.1
2020-06-10 15:57:22 configure libnghttp2-14:amd64 1.7.1-1 <none>
2020-06-10 15:57:22 status unpacked libnghttp2-14:amd64 1.7.1-1
2020-06-10 15:57:22 status half-configured libnghttp2-14:amd64 1.7.1-1
2020-06-10 15:57:22 status installed libnghttp2-14:amd64 1.7.1-1
2020-06-10 15:57:22 configure libsmi2ldbl:amd64 0.4.8+dfsg2-11 <none>
2020-06-10 15:57:22 status unpacked libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:22 status unpacked libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:22 status half-configured libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:22 status installed libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:22 configure libtiff5:amd64 4.0.6-1ubuntu0.7 <none>
2020-06-10 15:57:22 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.7
2020-06-10 15:57:22 status half-configured libtiff5:amd64 4.0.6-1ubuntu0.7
2020-06-10 15:57:22 status installed libtiff5:amd64 4.0.6-1ubuntu0.7
2020-06-10 15:57:22 configure libspandsp2:amd64 0.0.6-2.1 <none>
2020-06-10 15:57:22 status unpacked libspandsp2:amd64 0.0.6-2.1
2020-06-10 15:57:22 status half-configured libspandsp2:amd64 0.0.6-2.1
2020-06-10 15:57:22 status installed libspandsp2:amd64 0.0.6-2.1
2020-06-10 15:57:22 configure libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5 <none>
2020-06-10 15:57:22 status unpacked libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5
2020-06-10 15:57:22 status half-configured libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5
2020-06-10 15:57:22 status installed libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5
2020-06-10 15:57:22 configure libwireshark-data:all 2.6.10-1~ubuntu16.04.0 <none>
2020-06-10 15:57:22 status unpacked libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:22 status unpacked libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:22 status half-configured libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:22 status installed libwireshark-data:all 2.6.10-1~ubuntu16.04.0
2020-06-10 15:57:22 configure libc-ares2:amd64 1.10.0-3ubuntu0.2 <none>
